Tiempo [Seg.],Velocidad angular [rad /seg],Corriente en armadura [A],Tensión [V],Torque
0.159,3.44569392852929,0.514038129114163,2,0
0.16,3.49078200945963,0.508938403953673,2,0
0.161,3.5353850141891,0.503893543742544,2,0
0.162,3.57950816136779,0.498902958221225,2,0
0.163,3.62315661350144,0.493966063480336,2,0
0.164,3.66633547755542,0.48908228189238,2,0
0.165,3.70904980555227,0.484251042044178,2,0
0.166,3.75130459516279,0.47947177867003,2,0
0.167,3.79310479029077,0.474743932585582,2,0
0.168,3.83445528165145,0.470066950622406,2,0
0.169,3.87536090734374,0.465440285563283,2,0
0.17,3.91582645341626,0.46086339607818,2,0
0.171,3.95585665442738,0.456335746660914,2,0
0.172,3.99545619399911,0.451856807566495,2,0
0.173,4.03462970536512,0.44742605474915,2,0
0.174,4.07338177191285,0.443042969801005,2,0
0.175,4.11171692771975,0.438707039891431,2,0
0.176,4.14963965808381,0.434417757707044,2,0
0.177,4.18715440004832,0.430174621392345,2,0
0.178,4.22426554292102,0.425977134491006,2,0
0.179,4.26097742878767,0.421824805887779,2,0
0.18,4.29729435302009,0.417717149751038,2,0
0.181,4.3332205647787,0.413653685475933,2,0
0.182,4.36876026750969,0.409633937628163,2,0
0.183,4.40391761943686,0.40565743588834,2,0
0.184,4.43869673404811,0.401723714996971,2,0
0.185,4.47310168057674,0.397832314700014,2,0
0.186,4.50713648447756,0.393982779695033,2,0
0.187,4.54080512789785,0.39017465957792,2,0
0.188,4.57411155014335,0.386407508790203,2,0
0.189,4.60705964813908,0.382680886566912,2,0
0.19,4.63965327688535,0.378994356885007,2,0
0.191,4.67189624990878,0.375347488412367,2,0
0.192,4.7037923397085,0.371739854457317,2,0
0.193,4.73534527819753,0.368171032918708,2,0
0.194,4.76655875713943,0.364640606236531,2,0
0.195,4.79743642858024,0.361148161343058,2,0
0.196,4.82798190527578,0.357693289614517,2,0
0.197,4.85819876111436,0.354275586823278,2,0
0.198,4.88809053153492,0.350894653090556,2,0
0.199,4.91766071394067,0.347550092839633,2,0
0.2,4.94691276810834,0.344241514749563,2,0
0.201,4.97585011659292,0.340968531709397,2,0
0.202,5.00447614512817,0.337730760772881,2,0
0.203,5.03279420302271,0.33452782311366,2,0
0.204,5.06080760355192,0.331359343980945,2,0
0.205,5.0885196243456,0.328224952655673,2,0
0.206,5.11593350777144,0.32512428240713,2,0
0.207,5.1430524613144,0.322056970450042,2,0
0.208,5.16987965795201,0.319022657902129,2,0
0.209,5.19641823652559,0.316020989742114,2,0
0.21,5.22267130210749,0.313051614768186,2,0
0.211,5.24864192636443,0.310114185556909,2,0
0.212,5.27433314791687,0.307208358422571,2,0
0.213,5.29974797269452,0.304333793376974,2,0
0.214,5.32488937428806,0.301490154089652,2,0
0.215,5.34976029429708,0.298677107848521,2,0
0.216,5.37436364267419,0.295894325520953,2,0
0.217,5.39870229806554,0.293141481515262,2,0
0.218,5.42277910814763,0.290418253742615,2,0
0.219,5.44659688996046,0.287724323579342,2,0
0.22,5.47015843023716,0.285059375829657,2,0
0.221,5.49346648573003,0.282423098688782,2,0
0.222,5.5165237835331,0.279815183706464,2,0
0.223,5.53933302140117,0.277235325750884,2,0
0.224,5.56189686806552,0.274683222972957,2,0
0.225,5.58421796354608,0.272158576771018,2,0
0.226,5.60629891946037,0.269661091755878,2,0
0.227,5.62814231932905,0.267190475716269,2,0
0.228,5.64975071887819,0.264746439584653,2,0
0.229,5.67112664633831,0.262328697403399,2,0
0.23,5.69227260274019,0.259936966291327,2,0
0.231,5.71319106220747,0.257570966410609,2,0
0.232,5.73388447224616,0.255230420934028,2,0
0.233,5.75435525403098,0.252915056012589,2,0
0.234,5.77460580268864,0.250624600743478,2,0
0.235,5.79463848757813,0.248358787138364,2,0
0.236,5.81445565256785,0.246117350092047,2,0
0.237,5.83405961630993,0.243900027351436,2,0
0.238,5.85345267251145,0.241706559484869,2,0
0.239,5.87263709020288,0.239536689851756,2,0
0.24,5.89161511400348,0.237390164572553,2,0
0.241,5.91038896438401,0.235266732499057,2,0
0.242,5.92896083792646,0.233166145185021,2,0
0.243,5.9473329075811,0.231088156857085,2,0
0.244,5.96550732292069,0.22903252438602,2,0
0.245,5.983486210392,0.226999007258284,2,0
0.246,6.00127167356463,0.224987367547876,2,0
0.247,6.01886579337707,0.222997369888503,2,0
0.248,6.03627062838024,0.22102878144604,2,0
0.249,6.05348821497833,0.219081371891286,2,0
0.25,6.07052056766701,0.217154913373018,2,0
0.251,6.08736967926922,0.215249180491331,2,0
0.252,6.10403752116826,0.213363950271264,2,0
0.253,6.12052604353848,0.211499002136714,2,0
0.254,6.13683717557345,0.209654117884627,2,0
0.255,6.15297282571169,0.207829081659465,2,0
0.256,6.16893488185992,0.206023679927956,2,0
0.257,6.184725211614,0.204237701454106,2,0
0.258,6.20034566247744,0.202470937274485,2,0
0.259,6.2157980620775,0.200723180673778,2,0
0.26,6.23108421837912,0.198994227160598,2,0
0.261,6.24620591989636,0.197283874443564,2,0
0.262,6.26116493590173,0.195591922407624,2,0
0.263,6.27596301663319,0.193918173090651,2,0
0.264,6.29060189349889,0.192262430660275,2,0
0.265,6.30508327927979,0.190624501390969,2,0
0.266,6.31940886833003,0.18900419364139,2,0
0.267,6.33358033677522,0.187401317831947,2,0
0.268,6.34759934270848,0.185815686422628,2,0
0.269,6.36146752638451,0.184247113891053,2,0
0.27,6.37518651041145,0.182695416710766,2,0
0.271,6.38875789994077,0.181160413329768,2,0
0.272,6.40218328285504,0.17964192414927,2,0
0.273,6.41546422995375,0.17813977150268,2,0
0.274,6.42860229513706,0.176653779634818,2,0
0.275,6.44159901558765,0.175183774681349,2,0
0.276,6.45445591195055,0.173729584648446,2,0
0.277,6.46717448851105,0.172291039392658,2,0
0.278,6.47975623337072,0.170867970601011,2,0
0.279,6.49220261862154,0.16946021177131,2,0
0.28,6.5045151005181,0.168067598192659,2,0
0.281,6.51669511964799,0.166689966926191,2,0
0.282,6.52874410110038,0.165327156786003,2,0
0.283,6.54066345463274,0.163979008320295,2,0
0.284,6.55245457483578,0.162645363792715,2,0
0.285,6.56411884129663,0.161326067163907,2,0
0.286,6.57565761876027,0.160020964073247,2,0
0.287,6.58707225728915,0.158729901820789,2,0
0.288,6.59836409242123,0.157452729349395,2,0
0.289,6.60953444532618,0.156189297227062,2,0
0.29,6.62058462295997,0.154939457629439,2,0
0.291,6.63151591821784,0.153703064322529,2,0
0.292,6.64232961008548,0.152479972645583,2,0
0.293,6.65302696378876,0.15127003949417,2,0
0.294,6.6636092309417,0.150073123303437,2,0
0.295,6.67407764969296,0.148889084031543,2,0
0.296,6.68443344487067,0.147717783143275,2,0
0.297,6.69467782812577,0.146559083593841,2,0
0.298,6.70481199807375,0.145412849812831,2,0
0.299,6.71483714043488,0.144278947688359,2,0
0.3,6.724754428173,0.14315724455137,2,0
0.301,6.73456502163269,0.142047609160116,2,0
0.302,6.74427006867508,0.140949911684804,2,0
0.303,6.75387070481213,0.139864023692402,2,0
0.304,6.76336805333948,0.138789818131614,2,0
0.305,6.77276322546792,0.137727169318016,2,0
0.306,6.78205732045336,0.136675952919346,2,0
0.307,6.79125142572544,0.135636045940962,2,0
0.308,6.80034661701482,0.134607326711449,2,0
0.309,6.80934395847899,0.133589674868382,2,0
0.31,6.81824450282679,0.132582971344245,2,0
0.311,6.82704929144158,0.131587098352502,2,0
0.312,6.8357593545031,0.13060193937381,2,0
0.313,6.84437571110798,0.129627379142391,2,0
0.314,6.85289936938899,0.128663303632543,2,0
0.315,6.861331326633,0.1277096000453,2,0
0.316,6.86967256939764,0.126766156795234,2,0
0.317,6.87792407362676,0.125832863497399,2,0
0.318,6.8860868047646,0.124909610954415,2,0
0.319,6.89416171786874,0.123996291143695,2,0
0.32,6.90214975772187,0.123092797204802,2,0
0.321,6.91005185894232,0.122199023426946,2,0
0.322,6.91786894609339,0.121314865236619,2,0
0.323,6.92560193379157,0.12044021918536,2,0
0.324,6.93325172681351,0.119574982937647,2,0
0.325,6.9408192202019,0.118719055258924,2,0
0.326,6.94830529937021,0.117872336003763,2,0
0.327,6.95571084020624,0.117034726104138,2,0
0.328,6.96303670917465,0.116206127557838,2,0
0.329,6.9702837634183,0.115386443417003,2,0
0.33,6.97745285085856,0.114575577776776,2,0
0.331,6.9845448102945,0.113773435764084,2,0
0.332,6.99156047150107,0.112979923526537,2,0
0.333,6.99850065532613,0.112194948221451,2,0
0.334,7.00536617378654,0.111418418004979,2,0
0.335,7.01215783016313,0.110650242021369,2,0
0.336,7.01887641909471,0.109890330392333,2,0
0.337,7.02552272667104,0.109138594206529,2,0
0.338,7.0320975305248,0.108394945509163,2,0
0.339,7.03860159992258,0.107659297291693,2,0
0.34,7.04503569585488,0.106931563481651,2,0
0.341,7.05140057112514,0.106211658932572,2,0
0.342,7.05769697043784,0.105499499414032,2,0
0.343,7.06392563048563,0.104795001601794,2,0
0.344,7.07008728003549,0.104098083068055,2,0
0.345,7.07618264001406,0.103408662271807,2,0
0.346,7.08221242359191,0.102726658549293,2,0
0.347,7.08817733626706,0.102051992104568,2,0
0.348,7.09407807594748,0.101384584000168,2,0
0.349,7.09991533303276,0.100724356147869,2,0
0.35,7.10568979049488,0.100071231299552,2,0
0.351,7.11140212395813,0.0994251330381667,2,0
0.352,7.11705300177816,0.0987859857687874,2,0
0.353,7.12264308512016,0.0981537147097709,2,0
0.354,7.12817302803624,0.0975282458840054,2,0
0.355,7.13364347754195,0.0969095061102555,2,0
0.356,7.13905507369197,0.0962974229945998,2,0
0.357,7.14440844965502,0.0956919249219605,2,0
0.358,7.14970423178793,0.0950929410477247,2,0
0.359,7.1549430397089,0.0945004012894546,2,0
0.36,7.16012548637005,0.0939142363186887,2,0
0.361,7.16525217812909,0.0933343775528295,2,0
0.362,7.1703237148203,0.0927607571471193,2,0
0.363,7.17534068982467,0.0921933079867028,2,0
0.364,7.18030369013938,0.0916319636787735,2,0
0.365,7.18521329644643,0.0910766585448064,2,0
0.366,7.19007008318063,0.0905273276128731,2,0
0.367,7.19487461859674,0.0899839066100403,2,0
0.368,7.19962746483604,0.0894463319548491,2,0
0.369,7.20432917799204,0.0889145407498765,2,0
0.37,7.20898030817558,0.0883884707743757,2,0
0.371,7.21358139957918,0.0878680604769967,2,0
0.372,7.21813299054069,0.0873532489685841,2,0
0.373,7.22263561360633,0.0868439760150533,2,0
0.374,7.22708979559294,0.0863401820303428,2,0
0.375,7.23149605764968,0.0858418080694426,2,0
0.376,7.23585491531892,0.0853487958214976,2,0
0.377,7.24016687859668,0.0848610876029847,2,0
0.378,7.24443245199217,0.0843786263509643,2,0
0.379,7.24865213458691,0.0839013556164031,2,0
0.38,7.25282642009311,0.0834292195575701,2,0
0.381,7.25695579691138,0.0829621629335026,2,0
0.382,7.26104074818796,0.082500131097543,2,0
0.383,7.26508175187116,0.0820430699909451,2,0
0.384,7.26907928076736,0.081590926136549,2,0
0.385,7.27303380259626,0.081143646632524,2,0
0.386,7.27694578004568,0.0807011791461794,2,0
0.387,7.28081567082561,0.0802634719078412,2,0
0.388,7.28464392772184,0.0798304737047945,2,0
0.389,7.28843099864888,0.0794021338752926,2,0
0.39,7.29217732670242,0.0789784023026284,2,0
0.391,7.2958833502111,0.078559229409271,2,0
0.392,7.29954950278787,0.0781445661510653,2,0
0.393,7.3031762133807,0.0777343640114934,2,0
0.394,7.30676390632274,0.0773285749959979,2,0
0.395,7.31031300138198,0.0769271516263671,2,0
0.396,7.31382391381042,0.0765300469351792,2,0
0.397,7.31729705439255,0.0761372144603073,2,0
0.398,7.3207328294935,0.0757486082394836,2,0
0.399,7.32413164110657,0.0753641828049209,2,0
0.4,7.32749388690021,0.0749838931779937,2,0
0.401,7.33081996026462,0.0746076948639748,2,0
0.402,7.33411025035775,0.0742355438468297,2,0
0.403,7.33736514215079,0.0738673965840668,2,0
0.404,7.3405850164733,0.0735032100016424,2,0
0.405,7.34377025005767,0.0731429414889211,2,0
0.406,7.3469212155833,0.0727865488936905,2,0
0.407,7.3500382817201,0.0724339905172292,2,0
0.408,7.3531218131717,0.0720852251094276,2,0
0.409,7.35617217071811,0.0717402118639619,2,0
0.41,7.3591897112579,0.0713989104135196,2,0
0.411,7.36217478784998,0.0710612808250767,2,0
0.412,7.36512774975491,0.0707272835952247,2,0
0.413,7.36804894247578,0.0703968796455493,2,0
0.414,7.37093870779857,0.0700700303180581,2,0
0.415,7.37379738383223,0.0697466973706571,2,0
0.416,7.37662530504816,0.0694268429726765,2,0
0.417,7.37942280231941,0.0691104297004448,2,0
0.418,7.38219020295934,0.0687974205329097,2,0
0.419,7.38492783075995,0.0684877788473063,2,0
0.42,7.38763600602973,0.0681814684148731,2,0
0.421,7.39031504563117,0.0678784533966122,2,0
0.422,7.39296526301785,0.0675786983390965,2,0
0.423,7.39558696827105,0.0672821681703217,2,0
0.424,7.39818046813607,0.0669888281956025,2,0
0.425,7.40074606605815,0.0666986440935133,2,0
0.426,7.4032840622179,0.0664115819118727,2,0
0.427,7.4057947535665,0.0661276080637706,2,0
0.428,7.40827843386037,0.0658466893236392,2,0
0.429,7.4107353936956,0.0655687928233647,2,0
0.43,7.41316592054193,0.0652938860484422,2,0
0.431,7.41557029877637,0.0650219368341713,2,0
0.432,7.41794880971649,0.0647529133618928,2,0
0.433,7.42030173165332,0.0644867841552656,2,0
0.434,7.42262933988394,0.0642235180765842,2,0
0.435,7.42493190674366,0.0639630843231354,2,0
0.436,7.42720970163788,0.0637054524235942,2,0
0.437,7.42946299107365,0.0634505922344589,2,0
0.438,7.43169203869081,0.0631984739365237,2,0
0.439,7.43389710529286,0.0629490680313907,2,0
0.44,7.43607844887747,0.0627023453380174,2,0
0.441,7.43823632466665,0.0624582769893032,2,0
0.442,7.44037098513666,0.0622168344287119,2,0
0.443,7.44248268004748,0.0619779894069299,2,0
0.444,7.44457165647208,0.0617417139785617,2,0
0.445,7.44663815882533,0.0615079804988599,2,0
0.446,7.44868242889257,0.0612767616204906,2,0
0.447,7.45070470585791,0.0610480302903339,2,0
0.448,7.45270522633223,0.0608217597463184,2,0
0.449,7.45468422438086,0.0605979235142903,2,0
0.45,7.45664193155093,0.0603764954049155,2,0
0.451,7.45857857689852,0.0601574495106159,2,0
0.452,7.46049438701541,0.0599407602025373,2,0
0.453,7.46238958605561,0.0597264021275518,2,0
0.454,7.46426439576162,0.0595143502052906,2,0
0.455,7.4661190354903,0.0593045796252101,2,0
0.456,7.46795372223861,0.0590970658436886,2,0
0.457,7.46976867066896,0.058891784581155,2,0
0.458,7.47156409313431,0.0586887118192477,2,0
0.459,7.47334019970308,0.0584878237980045,2,0
0.46,7.47509719818364,0.058289097013083,2,0
0.461,7.47683529414872,0.0580925082130099,2,0
0.462,7.47855469095938,0.0578980343964609,2,0
0.463,7.48025558978885,0.0577056528095696,2,0
0.464,7.48193818964605,0.0575153409432651,2,0
0.465,7.48360268739889,0.0573270765306381,2,0
0.466,7.48524927779728,0.0571408375443364,2,0
0.467,7.48687815349594,0.0569566021939866,2,0
0.468,7.48848950507692,0.0567743489236455,2,0
0.469,7.49008352107193,0.0565940564092775,2,0
0.47,7.49166038798437,0.05641570355626,2,0
0.471,7.49322029031113,0.0562392694969147,2,0
